Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
iEnergizer,4.6,(27.2k),BPO,Noida +53 other locations,24.8k,1.6k,90,549,29,"Salary, Company Culture, Work Life Balance"
Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1121 other locations,9.4k,2.4k,46,286,103,"Company Culture, Work Life Balance, Job Security"
Indian Army,4.7,(6.3k),Defence & Aerospace,New Delhi +360 other locations,9.3k,212,--,745,12,"Job Security, Company Culture, Work Life Balance"
Kogta Financial India Limited,4.7,(4.1k),NBFC,New Delhi +260 other locations,1.9k,252,91,32,39,"Company Culture, Work Life Balance, Work Satisfaction"
Cloudnine Hospital,4.5,(3.9k),Healthcare,Bengaluru +46 other locations,3.1k,1.5k,25,119,7,"Company Culture, Skill Development, Work Life Balance"
Indian Air Force,4.6,(3.3k),Defence & Aerospace,New Delhi +134 other locations,5.3k,86,2,357,--,"Job Security, Company Culture, Skill Development"
Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad +61 other locations,61,266,--,8,5,"Company Culture, Work Life Balance, Work Satisfaction"
Tekwissen,4.9,(1.9k),IT Services & Consulting,New Delhi +5 other locations,607,341,448,3,12,"Company Culture, Work Life Balance, Work Satisfaction"
Indian Navy,4.6,(1.7k),Defence & Aerospace,Mumbai +75 other locations,3.4k,39,--,246,2,"Job Security, Skill Development, Company Culture"
Labmentix,4.5,(1.6k),Bengaluru +32 other locations,,35,556,--,18,--,"Work Life Balance, Skill Development, Company Culture"
mPokket,4.5,(1.5k),NBFC,Kolkata +22 other locations,1.6k,395,7,30,31,"Job Security, Company Culture, Work Life Balance"
Hire In Global,4.9,(1.4k),Recruitment,Mumbai +63 other locations,8,302,--,33,--,"Company Culture, Work Life Balance, Work Satisfaction"
Bluestock ™,4.5,(1.3k),FinTech,Pune +44 other locations,62,387,--,1,1,"Work Life Balance, Skill Development, Company Culture"
Royal Migration Solutions,4.9,(1.3k),Other,New Delhi +12 other locations,5,1,--,1,--,"Company Culture, Work Life Balance, Work Satisfaction"
Baazar Retail Private Limited,4.5,(1.2k),Retail,Kolkata +110 other locations,1.5k,85,1,17,12,"Company Culture, Work Life Balance, Job Security"
Wonder Home Finance,4.6,(1.1k),NBFC,New Delhi +120 other locations,765,192,2,9,31,"Company Culture, Work Life Balance, Work Satisfaction"
Northcorp Software,4.9,(1.1k),IT Services & Consulting,Gurugram +7 other locations,220,865,4,54,1,"Work Life Balance, Work Satisfaction, Job Security"
Jet Airways,4.6,(1.1k),Aviation,Mumbai +44 other locations,1.9k,24,--,180,--,"Work Satisfaction, Company Culture, Work Life Balance"
Nippon Life India Asset Management,4.6,(1k),Financial Services,Mumbai +189 other locations,1.6k,158,69,23,--,"Company Culture, Work Life Balance, Job Security"
Incheon Motors,4.7,(1k),Automobile,New Delhi +16 other locations,347,297,6,7,7,"Company Culture, Job Security, Skill Development"
Defence Research & Development Organisation,4.4,(958),Defence & Aerospace,Hyderabad +59 other locations,3.9k,78,--,88,--,"Work Life Balance, Work Satisfaction, Skill Development"
Duck Creek Technologies,4.5,(840),Software Product,Mumbai +9 other locations,1.3k,87,9,399,4,"Company Culture, Work Life Balance, Work Satisfaction"
Nippon Koei India,4.7,(792),Engineering & Construction,New Delhi +70 other locations,1.3k,165,6,27,21,"Company Culture, Work Life Balance, Work Satisfaction"
Aurigo Software Technologies,4.6,(764),Software Product,Bengaluru +6 other locations,1k,36,25,136,14,"Company Culture, Work Life Balance, Salary"
1 India Family Mart,4.6,(750),Retail,New Delhi +98 other locations,1.5k,39,2,42,2,"Company Culture, Work Life Balance, Work Satisfaction"
Sterling Tools,4.5,(747),Auto Components,New Delhi +16 other locations,1.2k,233,14,31,12,"Company Culture, Work Life Balance, Work Satisfaction"
Evision Technoserve,4.8,(738),IT Services & Consulting,Pune +44 other locations,216,323,--,24,--,"Company Culture, Work Life Balance, Work Satisfaction"
Lavender Technology,4.9,(724),IT Services & Consulting,Bengaluru +8 other locations,19,4,--,53,3,"Company Culture, Promotions, Skill Development"
Joyalukkas,4.6,(703),Retail,Bengaluru +76 other locations,997,190,3,193,2,"Job Security, Salary, Company Culture"
LEAP India Limited,4.6,(696),Packaging,Mumbai +48 other locations,1.3k,32,6,31,14,"Salary, Company Culture, Work Life Balance"
Samunnati,4.5,(694),NBFC,Chennai +61 other locations,937,84,--,287,6,"Company Culture, Work Life Balance, Work Satisfaction"
Office Beacon,4.6,(681),BPO,New Delhi +20 other locations,896,68,5,15,--,"Company Culture, Job Security, Skill Development"
InternEzy,4.9,(676),EdTech,Chennai +6 other locations,5,126,4,97,--,"Company Culture, Work Life Balance, Work Satisfaction"
HCL Healthcare,4.6,(672),Healthcare,Noida +40 other locations,977,176,16,21,62,"Company Culture, Work Life Balance, Work Satisfaction"
NextComm Corporation,4.8,(669),Software Product,Bengaluru +8 other locations,39,6,--,31,3,"Work Life Balance, Company Culture, Work Satisfaction"
ExportersIndia,4.9,(637),Internet,New Delhi +2 other locations,130,32,--,11,69,"Company Culture, Work Life Balance, Work Satisfaction"
Central Reserve Police Force,4.6,(620),Government,New Delhi +95 other locations,1.3k,10,--,43,--,"Job Security, Salary, Company Culture"
Columbia Asia,4.6,(594),Healthcare,Bengaluru +18 other locations,1.4k,19,--,99,--,"Company Culture, Skill Development, Work Life Balance"
Matrimonialsindia,4.9,(579),Internet,New Delhi +1 other locations,117,13,--,6,56,"Company Culture, Work Life Balance, Work Satisfaction"
Icl Fincorp,4.7,(577),NBFC,New Delhi +65 other locations,619,143,4,1,8,"Company Culture, Work Life Balance, Work Satisfaction"
MITS Global Consulting,4.5,(562),Recruitment,Mumbai +12 other locations,924,43,--,105,--,"Company Culture, Work Life Balance, Salary"
Maxgen Technologies,4.5,(543),IT Services & Consulting,Pune +8 other locations,1.1k,14,--,114,1,"Company Culture, Work Life Balance, Work Satisfaction"
Insuremile,4.7,(539),Internet,Bengaluru +16 other locations,79,83,1,1,--,"Company Culture, Work Life Balance, Skill Development"
Bharti Infratel,4.7,(535),Telecom,Gurugram +68 other locations,1.1k,6,--,73,3,"Company Culture, Skill Development, Work Life Balance"
Hitech Projects Limited,4.6,(524),Engineering & Construction,Ahmedabad +8 other locations,683,59,--,15,4,"Company Culture, Job Security, Skill Development"
ACTE,4.6,(521),Education & Training,Chennai +10 other locations,118,9,--,173,--,"Work Satisfaction, Job Security, Promotions"
Tradeshala,4.5,(521),Education & Training,Bengaluru +8 other locations,36,119,--,7,7,"Work Life Balance, Skill Development, Company Culture"
ThoughtSol Infotech Limited,4.6,(512),IT Services & Consulting,New Delhi +18 other locations,602,100,--,5,21,"Company Culture, Work Life Balance, Job Security"
Symphony,4.6,(469),Consumer Electronics & Appliances,Ahmedabad +88 other locations,1.1k,63,2,22,15,"Company Culture, Work Life Balance, Work Satisfaction"
DB Power Limited,4.7,(444),Power,New Delhi +13 other locations,761,64,--,26,9,"Work Life Balance, Job Security, Company Culture"
